SINONIMIA,MEDICAMENTO
ALIMENTOS 1+2+3+4 1700FC A 50FC (50FC/50FC)       ,AL 1+2+3+4 1700FC A 50FC (50FC /50FC)
ALKEKENGI OFFICINARUM                             ,PHYSALIS ALKEKENGI
ALLIGATOR MISS                                    ,ALLIGATOR MISSISSIPENSIS
ALLIUM                                            ,ALLIUM CEPA
ALLIUM OPHIOSCORODON                              ,ALLIUM SATIVUM
ALLIUM SAT                                        ,ALLIUM SATIVUM
ALLOXANUM                                         ,ALOXANA
ALMISCAR                                          ,MOSCHUS MOSCHIFERUS
ALNUS                                             ,ALNUS GLUTINOSA
ALNUS SERRULATA                                   ,ALNUS RUBRA
ALOE                                              ,ALOE SOCOTRINA
ALOE FEROX                                        ,ALOE SOCOTRINA
ALOE GUMMI                                        ,ALOE SOCOTRINA
ALOE LUCIDA                                       ,ALOE SOCOTRINA
ALOE OFFICINALIS                                  ,ALOE SOCOTRINA
ALOE RUBESCENS                                    ,ALOE SOCOTRINA
ALOE SOC                                          ,ALOE SOCOTRINA
ALOE SPICATA                                      ,ALOE SOCOTRINA
ALOE VERA                                         ,ALOE SOCOTRINA
ALOES                                             ,ALOE SOCOTRINA
ALPINIA ZERUMBET                                  ,ALPINIA SPECIOSA
ALSINE MEDIA                                      ,STELLARIA MEDIA
ALSTONIA CUNEATA                                  ,ALSTONIA SCHOLARIS
ALTERNARIA ALTERNATA                              ,ALTERNARIA
ALTHAEA                                           ,ALTHAEA OFFICINALIS
ALTHAEA OFF                                       ,ALTHAEA OFFICINALIS
ALUMEN CHROMICUM                                  ,KALI CHROMOSULPHURICUM
ALUMEN CRUDUM                                     ,ALUMEN
ALUMEN KALICO-SULPHURICUM                         ,ALUMEN
ALUMINA BROMATA                                   ,ALUMINIUM BROMATUM
ALUMINA MUR                                       ,ALUMINA MURIATICA
ALUMINA PHOSPH                                    ,ALUMINA PHOSPHORICA
ALUMINA SIL                                       ,ALUMINA SILICATA
